Star Rating,Review Title,Review Description
5.0 out of 5 stars,"Great Deal, Smooth Delivery & Premium Experience","I recently purchased the iPhone 17 Pro from Amazon, and the overall experience was excellent.The product arrived in perfect condition and performs exactly as expected. The build quality, performance, and camera are all top-notch, and everything was properly sealed and brand new.Delivery was prompt and smooth. Since this wasn’t an open-box delivery, I appreciated that the delivery associate reassured me that if anything turned out to be wrong, support would be available. That added an extra layer of confidence while accepting the package.I also managed to get a very good deal using coupons along with cashback through the ICICI Amazon credit card, which made the purchase even more worthwhile.Overall, a smooth buying experience and completely satisfied with the purchase. Highly recommended.Read more"
5.0 out of 5 stars,"Solid Phone, Solid Performance and premium experience","I recently purchased the iPhone 17 Pro from Amazon, and the overall experience was excellent as always.The product arrived in perfect condition and performs exactly as expected. The build quality, performance, and camera are all top-notch, and everything was properly sealed and brand new.Delivery was prompt and smooth. Since this wasn’t an open-box delivery, I appreciated that the delivery associate reassured me that if anything turned out to be wrong, support would be available. That added an extra layer of confidence while accepting the package.I also managed to get a very good deal using coupons along with cashback through the ICICI Amazon credit card, which made the purchase even more worthwhile.Overall, a smooth buying experience and completely satisfied with the purchase. Highly recommended.Read more"
5.0 out of 5 stars,Premium and class as always.,Very Premium feel. I do understand that apple left titanium body of 16 pro but yes it is an upgrade and if one has 16 pro then may be he should not go for this one but hugely recommend for anyone having 14pro or lower. Feels premium in hand and design is different and may not be to everyone's taste. Blue colour is awesome as I had liked darker colours from Apple. Camera is excellent. I do not want to comment about battery as I do not use this phone for gaming. Amazon also did a good job with respect to delivery and providing offers in Republic Day sale 😀😀.About durability I can only say that my wife is using 13 pro and it still is smooth and no major issues except battery which obviously Apple degrades over years so that you buy a new one.I was hoping to bag a 16 pro but in sale the difference was not huge so went with this one. 👍👍Read more
4.0 out of 5 stars,Performance,First time i have shifted from Android to IOS (iphone). After the usage of 1 month i am writing these lines regarding my iphone experience.It is very nice and classy and an outstanding look in hands .Feel something different on its use.Camera is goodDesign is charming.Battery lasts for a day after heavy use.Really hands feel different touch.I like its design and its performance.Read more
5.0 out of 5 stars,Delivery and item performance is superfine,Perfect to spection our orderRead more
1.0 out of 5 stars,Very Bad experience,"It's very Bad experienceThe product was not working properly and when I was in call with in 2mits tthe mobile getting heat, and few of apps are not working properlyRead more"
5.0 out of 5 stars,iPhone 17 pro,"Awesome quality, good battery backup and lovely pictures. A way too improved. Worth the price.Read more"
5.0 out of 5 stars,very good,i got 5000 rupees discount from amazon thank you amazonRead more
5.0 out of 5 stars,iPhone,Good product and product delivery also proffesionalRead more
5.0 out of 5 stars,Smooth AF,"UI so smooth, as a dove floats on a moonlit tranquil pond...Cameras so sharp, as a Ronin handles his sword...Speakers so thunderous, even the heavens rumble when one booms a chorus.Read more"
