Star Rating,Review Title,Review Description
1.0 out of 5 stars,Very very high cost.,"I got Mi tv 55 inch at 55K price, the wall mount Price is 30K, what is is the use, we can buy an other Mi Tv in this budget it is  waste of money.Read more"
5.0 out of 5 stars,"Great product, you should buy for it if you are a beginner","Great product for beginners, you should try it on. I use for it for Moto logging.The quality of this product is so great. Quality is definitely very nice. Voice qualities so perfect for outdoor shoots and comparability with the cameras are great. It’s easy to handle no need of great science to use it. The functionality of the product is simple.Read more"
5.0 out of 5 stars,It is THE MIC that you need for everyday content shooting & Video conference,Best Microphone that I have purchased till date. The noise cancellation feature is really good. It has a classy look and the voice quality is strong. It is compatible with Android as well as iOS. Highly recommended for content creators and people who do virtual meetings almost always. Value for Money!Read more
4.0 out of 5 stars,Good mic but Bad magnet,"Pros - It is a great product in this price range. Audio quality is great, battery life is also good, and it is a good option for beginners.Cons - However, there is 1 big shortcoming that the clip is missing on the mics and only comes with the magnets. The magnet quality is decent, but they are very small, and you may lose them very easily. I already lost 1 magnet on the very first day. And after losing the magnet, it becomes difficult to charge and handle the mic.Read more"
1.0 out of 5 stars,Quality is not good,Very Bad Quality product from hollyland. Noise cancellation is not working properly. Can't record good quality audio.Read more
5.0 out of 5 stars,Purchase it without any hesitation,1st class product. I'm sorry happy 😁Read more
5.0 out of 5 stars,Value for money,Value for money! Good voice quality.Read more
5.0 out of 5 stars,Quality,"Highly recommend this product ,it's really good quality and best for use.Read more"
4.0 out of 5 stars,Noice cancellation works only with settings,Please read this if you have doubts with respect to noice cancellation!When I first got the microphone it was just not working I later found out battery was low after charging also i noticed noice cancellation was not working I complained and even scheduled return just as a last attempt I tried googling in gemini ai I found out my phone was picking internal microphone instead of the mic!!! Later I cancelled the return and kept the mic! There are 4 setting - change the settings to external audio and you will be able to work with the mic.Hollyland please send this in instruction manual all phones by default especially android use internal audio even if we connect the mic.It is compatible with android and worked well. Easy to use but play around with settings first. However noice cancellation can still be better. It's okay okay. You can use reels edits app and use noice cancellation there.Read more
5.0 out of 5 stars,Nice product.,"I specially came to amazon to find this product to write a review for it. Why? By mistake I put one of its mics in washing machine along with one of my shirts, I recalled when I had to start another meeting and it clicked that it's inside the washing machine. I ran and stopped the machine, but it was already 10-15 mins and its was wet.conclusion It was working even thought it was wet without a claimed IP rating however it can also be coincident.Very good audio quality, even when sitting in direction of cooler's throw.I use it for my teams meeting (windows) and its superb. works well with camera as well.Caution Finding, as my core purpose if for calls. I also tried taking normal phone calls with this on phone however that is not supported, you can only use it with apps which allows you to select mics inputs in phone. on PC meetings and WhatsApp call are breeze.  battery is also good. as I usually forget it on my shirt. I have observed it to be operational for continuous 4-5 hrs easily 10:40 to around 3:00 before I switch to other one.Its light and small so I hardly notice anything stuck on my shirt. overall, a very good productRead more"
5.0 out of 5 stars,Good product,"Very good item i used it , but i suggest go for its 11000 mic that is far bettee .I purchased this as i do not use it dailyRead more"
4.0 out of 5 stars,Worth the money i think ( my opinion ),"Its a good product in this price range. The sound quality of the voice output feom the device is pretty good. I got the product well packed, no damage found anywhere. It have a good battery backup. Noice reduction is also good. Better use its app to do all the customisationRead more"
1.0 out of 5 stars,I want replacement,"The media could not be loaded.Hello, I received the microphone , but it is not working.Both transmitters are not turning on. I have tried charging them fully and pressing the power button for several seconds, but there is no light or response.I also tried to use the replacement option in the app, but it is not working / not allowing me to proceed.It seems like a defective product. I would like a replacement.Please arrange a replacement as soon as possible. Thank you.Read more"
5.0 out of 5 stars,"Premium feel , but no charging head inside  , good sound","Charge it first when you receive,  no charging head is included  so i haven to use my phones  charger ,  olug the receiver usbc head to the phone and grab the mic and boom its connected,  if not press the receiver botton for 6 seconds and its done,  premium feel and sound is very clearRead more"
5.0 out of 5 stars,Best in price range,"noise cancelation is very good, easy use and carry. value for money.Read more"
5.0 out of 5 stars,Awesome microphone,"A great product, I am a YouTuber. I am satisfied with the purchase.Read more"
4.0 out of 5 stars,Best with good quality of sound,Good product I am using this on my Iphone 17pro max and it’s working good. Must buy✌🏻Read more
5.0 out of 5 stars,Gereat wireless mic for beginners,"ProsExcellent noise cancellation: Filters out background noise very effectively, keeping the subject’s voice clear and focused.High-quality audio: Clear and natural sound—good for vlogging, interviews, and voice recordings.Strong default gain: The mic gain is set high by default, which works well for outdoor recording or when your subject isn’t very close to the mic.Versatile use cases: Suitable for voiceovers, podcasts, online meetings, online classes, vlogs, interviews, etc.Convenient charging case (if included): Having the case allows you to charge the mics on the go, which is especially helpful for long sessions and outdoor uses.ConsApp-dependent gain control: Mic gain can only be adjusted through the app, which limits control when using the mic with a camera.Battery life: Battery performance is average; longer shoots may require frequent charging.Range limitations: The wireless range is good for typical use, but may not be ideal in large venues or obstructed environments.Magnet mount instead of clip: The transmitter uses a magnet mount rather than a traditional clip, which may not secure well on all clothing types.Read more"
5.0 out of 5 stars,Worth the money,"The media could not be loaded.Worth the money I must say , sound quality is quite crisp, cuts down background really well and super easy to use you can download a app and control a heck lot of things through it , the magnet is super strong , very light weight easy to attach to clothes doesn’t feel bulky(P.S - you will have to buy both the receivers if you use iPhone lighting one doesn’t come singular as usb)Read more"
5.0 out of 5 stars,"Good product, can trust and buy.",The media could not be loaded.Very nice and genuine product I'm writing this review after using it for more than a week. I use it with iPhone and it's super compatible and comfortable during recording videos. The down side it it may not work with all apps you have. But best product for anyone who is looking for a mic with super noise cancelation. Battery life is also really good as I charged it once and it's lasting for a week (based on your usage this may vary). Over all good product but the cost is little at the higher end.Read more
5.0 out of 5 stars,Brilliant mic with great noise cancellation,"Brilliant purchase for regular content creation on my iPhone 17. Works like a charm! Of special mention is the brilliant noise cancellation that cuts out ambient noise beautifully well. Please make sure you purchase ONLY the USB-C variant as that would save you a lot of money since it works on all USB-C compatible devices. I bought the combo (USB-C and Lightning) variant that cost me upwards of Rs.7,000/- as when I purchased this kit, only the USB-C variant wasn't available.Read more"
5.0 out of 5 stars,Best product.,Best for blogging..I’m using it in industry and voice cancellation working fantastic. Loved it.Read more
3.0 out of 5 stars,Good But ...,Mic is Great But It Must Have Clips other wise You Will Lose ItRead more
1.0 out of 5 stars,Transmittors are not Working,I purchased Lark AI.. Both transmittors are not working.. What to do next..?Read more
5.0 out of 5 stars,Sound quality,"The best product you can get, works so good the voice comes crystal clearRead more"
5.0 out of 5 stars,Absolutely Good,No issues till nowYou can buy it for students daily use or for your parents who are started to useTotally worth on this priceRead more
4.0 out of 5 stars,Best deal at 8000 segment,"According to price , it is the best . Screen is large , speakers are loud , long lasting battery,light weight and usable camera. Best for giving to grandparents who want to learn using smartphoneRead more"
5.0 out of 5 stars,Good entry level phone,This is a good entry level phone with good large 6.7 in display. Large battery and android 16 with one ui 8. A great phone for normal use. Don’t expect much from camera and gaming performance as it is an entry level phone.Read more
5.0 out of 5 stars,Good product in affordable Prices,A very Good product in affordable Prices and For Gifting this to someone special is very satisfactory. Very Attractive Product at affordable Prices.Read more
4.0 out of 5 stars,"A good, solid phone at this price-point","This is marketed as a budget phone. Nonetheless, it has the quality and feel of a midrange product. It does all the essentials well, including Internet browsing, WhatsApp, etc. The only slight issue has been dropped wi-fi connection despite close proximity to the router. It'll switch to mobile data connection and this could consume a lot of data if you don't realise. You can change connection settings to avoid rapid switching from WiFi to data.Read more"
5.0 out of 5 stars,A quality phone with decent specs.,"This phone is purchased as a gift for an old person and she likes it a lot. The phone looks good, build quality is decent for the price, screen although not a FHD panel, is crisp & colourful and the phone is fast enough for general applications like WhatsApp and youtube. Camera takes good pictures and videos. Speaker is loud enough and call quality via microphone is also very good. She doesn't game so not sure about the gaming experience. I can't comment on the battery performance as I didn't check and she's almost always at home so battery may not be an issue for her. It's a 4G only phone so no 5G connectivity but it doesn't matter to us. Oh, and it will receive six Android updates.All in all, a good phone for the price.Read more"
3.0 out of 5 stars,Ok,It's ok for the price but it would be great if it has 5gRead more
